year,inflation_rate
2024,0
2023,3.4
2022,8.002799821
2021,4.697858864
2020,1.233584396
2019,1.812210075
2018,2.442583297
2017,2.130110004
2016,1.261583206
2015,0.118627136
2014,1.622222977
2013,1.464832656
2012,2.069337265
2011,3.156841569
2010,1.640043442
2009,-0.355546266
2008,3.839100297
2007,2.852672482
2006,3.225944101
2005,3.392746845
2004,2.677236693
2003,2.270094973
2002,1.586031627
2001,2.826171119
2000,3.376857271
1999,2.188027197
1998,1.552279099
1997,2.337689937
1996,2.9312042
1995,2.805419689
1994,2.607441592
1993,2.951656966
1992,3.028819678
1991,4.234963965
1990,5.39795644
1989,4.82700303
1988,4.077741107
1987,3.664563218
1986,1.898047722
1985,3.545644152
1984,4.300535475
1983,3.212435233
1982,6.131427
1981,10.33471534
1980,13.54920197
1979,11.25447113
1978,7.630963839
1977,6.501683995
1976,5.744812635
1975,9.143146865
1974,11.0548048
1973,6.177760064
1972,3.272278247
1971,4.292766688
1970,5.838255338
1969,5.4623862
1968,4.271796153
1967,2.772785623
1966,3.015075377
1965,1.585169264
1964,1.278911565
1963,1.239669421
1962,1.198773348
1961,1.070724148
1960,1.457975986
